2018-11-19 12:20:58.2935 DEBUG                   21|   AnonymousSafeObserver`1 |               OnNext | No trace listeners. 
2018-11-19 14:28:47.6751 INFO                    21|        ApplicationRemover |            Uninstall | [172.16.1.139][1] Uninstalling [ScanTypeD] application... 
2018-11-19 14:28:47.6751 DEBUG                   21| icationInformationManager | GetApplicationNumber | [1] Application number for application sqscan is not known. 
2018-11-19 14:28:47.9651 DEBUG                   21|        ApplicationRemover |            Uninstall | [172.16.1.139][1] Application [ScanTypeD] (id: [sqscan]) not found. 
2018-11-19 14:28:47.9651 DEBUG                   21| nCleaningInstallationStep |        UninstallScan | [172.16.1.139][1] Cleaning scan browser application... 
2018-11-19 14:28:47.9651 INFO                    21|        ApplicationRemover |            Uninstall | [172.16.1.139][1] Uninstalling [ScanBrowser] application... 
2018-11-19 14:28:47.9769 DEBUG                   21| icationInformationManager | GetApplicationNumber | [1] Application number for application sqscanweb is not known. 
2018-11-19 14:28:48.2112 DEBUG                   21|        ApplicationRemover |            Uninstall | [172.16.1.139][1] Application [ScanBrowser] (id: [sqscanweb]) not found. 
2018-11-19 14:28:48.2112 INFO                    21|        ApplicationRemover |            Uninstall | [172.16.1.139][1] Uninstalling [GeneralBrowser] application... 
2018-11-19 14:28:48.2112 DEBUG                   21| icationInformationManager | GetApplicationNumber | [1] Application number for application sqscanweb is not known. 
2018-11-19 14:28:48.5364 DEBUG                   21|        ApplicationRemover |            Uninstall | [172.16.1.139][1] Application [GeneralBrowser] (id: [sqscanweb]) not found. 
2018-11-19 14:28:48.5364 INFO                    21| nCleaningInstallationStep |        UninstallScan | [172.16.1.139][1] Scan application removed. 
2018-11-19 14:28:50.5814 INFO                    21| nCleaningInstallationStep | pplicationButtonName | [172.16.1.139][1] External application button changed. 
2018-11-19 14:28:50.8304 DEBUG                   21| nCleaningInstallationStep | DeleteAuthentication | [172.16.1.139][1] 3rd party authentication application present: [False] 
2018-11-19 14:28:50.8304 DEBUG                   21| nCleaningInstallationStep | DeleteAuthe
